Project name;Repository name;Branch;File extension;Count
acas;acas-autenticacao-parceiros-api;develop;.cs;56
acas;acas-autenticacao-parceiros-api;develop;.csproj;8
acas;acas-autenticacao-parceiros-api;develop;.xml;1
acas;acas-autenticacao-parceiros-api;develop;.xsd;1
acas;acas-autenticacao-parceiros-api;develop;.css;1
acas;acas-autenticacao-parceiros-api;develop;.json;2
acas;acas-autenticacao-parceiros-api;develop;.sln;1
acas;acas-autenticacao-parceiros-api;develop;.md;1
acas;acas-autenticacao-parceiros-api;develop;.yml;1
acas;acas-autenticacao-parceiros-api;develop;.yaml;1
acas;acas-autenticacao-parceiros-api;main;.md;1
acas;acas-autenticacao-parceiros-api;main;.yml;1
acas;acas-autenticacao-parceiros-api;main;.yaml;1
acas;acas-autenticacao-parceiros-api;staging;.md;1
acas;acas-autenticacao-parceiros-api;staging;.yml;1
acas;acas-autenticacao-parceiros-api;staging;.yaml;1
acas;acas-componente-seguranca;main;.md;1
acas;acas-componente-seguranca;staging;.csproj;16
acas;acas-componente-seguranca;staging;.cs;69
acas;acas-componente-seguranca;staging;.css;1
acas;acas-componente-seguranca;staging;.pubxml;1
acas;acas-componente-seguranca;staging;.json;7
acas;acas-componente-seguranca;staging;.sln;1
acas;acas-componente-seguranca;staging;.md;1
acas;acas-componente-seguranca;staging;.yml;1
acas;acas-desafios-seguranca;main;.md;1
acas;acas-desafios-seguranca;staging;.csproj;16
acas;acas-desafios-seguranca;staging;.cs;69
acas;acas-desafios-seguranca;staging;.css;1
acas;acas-desafios-seguranca;staging;.pubxml;1
acas;acas-desafios-seguranca;staging;.json;7
acas;acas-desafios-seguranca;staging;.sln;1
acas;acas-desafios-seguranca;staging;.md;1
acas;acas-desafios-seguranca;staging;.yml;1
acas;acas-desafios-seguranca-api;develop;.md;1
acas;acas-desafios-seguranca-api;develop;.yml;1
acas;acas-desafios-seguranca-api;develop;.yaml;1
acas;acas-desafios-seguranca-api;main;.md;1
acas;acas-desafios-seguranca-api;main;.yml;1
acas;acas-desafios-seguranca-api;main;.yaml;1
acas;acas-desafios-seguranca-api;staging;.md;1
acas;acas-desafios-seguranca-api;staging;.yml;1
acas;acas-desafios-seguranca-api;staging;.yaml;1
acas;acas-gerenciamento-modo-seguro-api;develop;.csproj;6
acas;acas-gerenciamento-modo-seguro-api;develop;.cs;95
acas;acas-gerenciamento-modo-seguro-api;develop;.xml;1
acas;acas-gerenciamento-modo-seguro-api;develop;.xsd;1
acas;acas-gerenciamento-modo-seguro-api;develop;.css;1
acas;acas-gerenciamento-modo-seguro-api;develop;.json;2
acas;acas-gerenciamento-modo-seguro-api;develop;.sln;1
acas;acas-gerenciamento-modo-seguro-api;develop;.md;1
acas;acas-gerenciamento-modo-seguro-api;develop;.yml;1
acas;acas-gerenciamento-modo-seguro-api;develop;.yaml;1
acas;acas-gerenciamento-modo-seguro-api;main;.md;1
acas;acas-gerenciamento-modo-seguro-api;main;.yml;1
acas;acas-gerenciamento-modo-seguro-api;main;.yaml;1
acas;acas-gerenciamento-modo-seguro-api;staging;.md;1
acas;acas-gerenciamento-modo-seguro-api;staging;.yml;1
acas;acas-gerenciamento-modo-seguro-api;staging;.yaml;1
acas;acas-integrador-historico-risco-consumer;main;.csproj;16
acas;acas-integrador-historico-risco-consumer;main;.cs;69
acas;acas-integrador-historico-risco-consumer;main;.css;1
acas;acas-integrador-historico-risco-consumer;main;.pubxml;1
acas;acas-integrador-historico-risco-consumer;main;.json;7
acas;acas-integrador-historico-risco-consumer;main;.sln;1
acas;acas-integrador-historico-risco-consumer;main;.md;1
acas;acas-integrador-historico-risco-consumer;main;.yml;1
acas;acas-integrador-historico-risco-consumer;staging;.csproj;16
acas;acas-integrador-historico-risco-consumer;staging;.cs;69
acas;acas-integrador-historico-risco-consumer;staging;.css;1
acas;acas-integrador-historico-risco-consumer;staging;.pubxml;1
acas;acas-integrador-historico-risco-consumer;staging;.json;7
acas;acas-integrador-historico-risco-consumer;staging;.sln;1
acas;acas-integrador-historico-risco-consumer;staging;.md;1
acas;acas-integrador-historico-risco-consumer;staging;.yml;1
acas;acas-seguranca-operacoes-canais-externos-api;develop;.md;1
acas;acas-seguranca-operacoes-canais-externos-api;develop;.yml;1
acas;acas-seguranca-operacoes-canais-externos-api;develop;.yaml;1
acas;acas-seguranca-operacoes-canais-externos-api;main;.md;1
acas;acas-seguranca-operacoes-canais-externos-api;main;.yml;1
acas;acas-seguranca-operacoes-canais-externos-api;main;.yaml;1
acas;acas-seguranca-operacoes-canais-externos-api;staging;.md;1
acas;acas-seguranca-operacoes-canais-externos-api;staging;.yml;1
acas;acas-seguranca-operacoes-canais-externos-api;staging;.yaml;1
acpb;acpb-arrecadacao-bff;main;.md;1
acpb;acpb-arrecadacao-bff;staging;.md;1
acpb;acpb-backoffice-cadastro-bff;main;.md;1
acpb;acpb-backoffice-cadastro-bff;staging;.md;1
acpb;acpb-banking-console-bff;develop;.cs;50
acpb;acpb-banking-console-bff;develop;.csproj;11
acpb;acpb-banking-console-bff;develop;.xml;1
acpb;acpb-banking-console-bff;develop;.xsd;1
acpb;acpb-banking-console-bff;develop;.css;2
acpb;acpb-banking-console-bff;develop;.json;2
acpb;acpb-banking-console-bff;develop;.sln;1
acpb;acpb-banking-console-bff;develop;.md;1
acpb;acpb-banking-console-bff;develop;.yml;1
acpb;acpb-banking-console-bff;main;.md;1
acpb;acpb-banking-console-bff;staging;.cs;70
acpb;acpb-banking-console-bff;staging;.csproj;11
acpb;acpb-banking-console-bff;staging;.xml;1
acpb;acpb-banking-console-bff;staging;.xsd;1
acpb;acpb-banking-console-bff;staging;.css;2
acpb;acpb-banking-console-bff;staging;.json;2
acpb;acpb-banking-console-bff;staging;.sln;1
acpb;acpb-banking-console-bff;staging;.md;1
acpb;acpb-banking-console-bff;staging;.yml;1
acpb;acpb-bff-backoffice-planejamento-comercial;main;.md;1
acpb;acpb-bff-backoffice-planejamento-comercial;staging;.md;1
acpb;acpb-bff-gestao-risco-credito-service;main;.md;1
acpb;acpb-bff-gestao-risco-credito-service;staging;.md;1
acpb;acpb-bff-parametros-cadastro-produtos-service;main;.md;1
acpb;acpb-bff-parametros-cadastro-produtos-service;staging;.md;1
acpb;acpb-comissionamento-remuneracao-bff;main;.md;1
acpb;acpb-comissionamento-remuneracao-bff;staging;.cs;58
acpb;acpb-comissionamento-remuneracao-bff;staging;.csproj;8
acpb;acpb-comissionamento-remuneracao-bff;staging;.xml;1
acpb;acpb-comissionamento-remuneracao-bff;staging;.xsd;1
acpb;acpb-comissionamento-remuneracao-bff;staging;.css;1
acpb;acpb-comissionamento-remuneracao-bff;staging;.json;2
acpb;acpb-comissionamento-remuneracao-bff;staging;.sln;1
acpb;acpb-comissionamento-remuneracao-bff;staging;.md;1
acpb;acpb-comissionamento-remuneracao-bff;staging;.yml;1
acpb;acpb-desconto-em-folha-parametrizacao-bff;main;.md;1
acpb;acpb-desconto-em-folha-parametrizacao-bff;staging;.md;1
acpb;acpb-investimento-renda-fixa-bff;main;.md;1
