Project name;Repository name;File extension
acas;acas-autenticacao-parceiros-api;.yaml
acas;acas-autenticacao-parceiros-api;.md
acas;acas-autenticacao-parceiros-api;.yml
acas;acas-componente-seguranca;.md
acas;acas-desafios-seguranca;.md
acas;acas-desafios-seguranca-api;.yaml
acas;acas-desafios-seguranca-api;.md
acas;acas-desafios-seguranca-api;.yml
acas;acas-gerenciamento-modo-seguro-api;.yaml
acas;acas-gerenciamento-modo-seguro-api;.md
acas;acas-gerenciamento-modo-seguro-api;.yml
acas;acas-integrador-historico-risco-consumer;.json
acas;acas-integrador-historico-risco-consumer;.pubxml
acas;acas-integrador-historico-risco-consumer;.md
acas;acas-integrador-historico-risco-consumer;.yml
acas;acas-integrador-historico-risco-consumer;.csproj
acas;acas-integrador-historico-risco-consumer;.css
acas;acas-integrador-historico-risco-consumer;.sln
acas;acas-integrador-historico-risco-consumer;.cs
acas;acas-seguranca-operacoes-canais-externos-api;.yaml
acas;acas-seguranca-operacoes-canais-externos-api;.md
acas;acas-seguranca-operacoes-canais-externos-api;.yml
acpb;acpb-arrecadacao-bff;.md
acpb;acpb-backoffice-cadastro-bff;.md
acpb;acpb-banking-console-bff;.md
acpb;acpb-bff-backoffice-planejamento-comercial;.md
acpb;acpb-bff-gestao-risco-credito-service;.md
acpb;acpb-bff-parametros-cadastro-produtos-service;.md
acpb;acpb-comissionamento-remuneracao-bff;.md
acpb;acpb-desconto-em-folha-parametrizacao-bff;.md
acpb;acpb-investimento-renda-fixa-bff;.md
acpb;acpb-portal-backoffice-bff;.json
acpb;acpb-portal-backoffice-bff;.md
acpb;acpb-portal-backoffice-bff;.yml
acpb;acpb-portal-backoffice-bff;.csproj
acpb;acpb-portal-backoffice-bff;.css
acpb;acpb-portal-backoffice-bff;.sln
acpb;acpb-portal-backoffice-bff;.xml
acpb;acpb-portal-backoffice-bff;.xsd
acpb;acpb-portal-backoffice-bff;.cs
acpb;acpb-portal-cobranca-bff;.yaml
acpb;acpb-portal-cobranca-bff;.md
acpb;acpb-portal-cobranca-bff;.yml
acpb;acpb-portal-pj-bff;.json
acpb;acpb-portal-pj-bff;.md
acpb;acpb-portal-pj-bff;.yml
acpb;acpb-portal-pj-bff;.csproj
acpb;acpb-portal-pj-bff;.css
acpb;acpb-portal-pj-bff;.sln
acpb;acpb-portal-pj-bff;.xml
acpb;acpb-portal-pj-bff;.xsd
acpb;acpb-portal-pj-bff;.cs
acpb;acpb-proposta-de-negocio-pj-bff;.md
acpb;acpb-seguros-sinistro-backoffice-bff;.yaml
acpb;acpb-seguros-sinistro-backoffice-bff;.md
acpb;acpb-seguros-sinistro-backoffice-bff;.yml
acps;acps-abertura-conta-pf-mobile-bff;.json
acps;acps-abertura-conta-pf-mobile-bff;.md
acps;acps-abertura-conta-pf-mobile-bff;.yml
acps;acps-abertura-conta-pf-mobile-bff;.csproj
acps;acps-abertura-conta-pf-mobile-bff;.css
acps;acps-abertura-conta-pf-mobile-bff;.sln
acps;acps-abertura-conta-pf-mobile-bff;.cs
acps;acps-abertura-conta-pj-mobile-bff;.md
acps;acps-aprovacoes-ib-bff;.yaml
acps;acps-aprovacoes-ib-bff;.json
acps;acps-aprovacoes-ib-bff;.md
acps;acps-aprovacoes-ib-bff;.yml
acps;acps-aprovacoes-ib-bff;.csproj
acps;acps-aprovacoes-ib-bff;.css
acps;acps-aprovacoes-ib-bff;.sln
acps;acps-aprovacoes-ib-bff;.xml
acps;acps-aprovacoes-ib-bff;.xsd
acps;acps-aprovacoes-ib-bff;.cs
acps;acps-atendimento-mobile-bff;.md
acps;acps-auth-mobile-bff;.md
acps;acps-auth-mobile-bff;.json
acps;acps-auth-mobile-bff;.yml
acps;acps-auth-mobile-bff;.csproj
acps;acps-auth-mobile-bff;.css
acps;acps-auth-mobile-bff;.sln
acps;acps-auth-mobile-bff;.cs
acps;acps-automacao-mobile-qa;.md
acps;acps-automacao-qa;.json
acps;acps-automacao-qa;.js
acps;acps-automacao-qa;.md
acps;acps-beneficio-mobile-bff;.md
acps;acps-bff-auth-ib;.json
acps;acps-bff-auth-ib;.md
acps;acps-bff-auth-ib;.yml
acps;acps-bff-auth-ib;.csproj
acps;acps-bff-auth-ib;.css
acps;acps-bff-auth-ib;.sln
acps;acps-bff-auth-ib;.cs
acps;acps-bff-auth-ib-service;.md
acps;acps-bff-auth-mobile;.json
acps;acps-bff-auth-mobile;.md
acps;acps-bff-auth-mobile;.yml
acps;acps-bff-auth-mobile;.csproj
acps;acps-bff-auth-mobile;.css
acps;acps-bff-auth-mobile;.sln
acps;acps-bff-auth-mobile;.cs
acps;acps-bff-boletos-ib;.md
acps;acps-bff-cliente-mobile;.json
acps;acps-bff-cliente-mobile;.md
acps;acps-bff-cliente-mobile;.yml
acps;acps-bff-cliente-mobile;.csproj
acps;acps-bff-cliente-mobile;.css
acps;acps-bff-cliente-mobile;.sln
acps;acps-bff-cliente-mobile;.html
acps;acps-bff-cliente-mobile;.cs
acps;acps-bff-conta-mobile;.md
acps;acps-bff-conta-mobile;.yml
acps;acps-bff-debito-automatico-ib;.md
acps;acps-bff-documentos-ib;.md
acps;acps-bff-extrato-ib;.json
acps;acps-bff-extrato-ib;.pubxml
acps;acps-bff-extrato-ib;.md
acps;acps-bff-extrato-ib;.yml
acps;acps-bff-extrato-ib;.csproj
acps;acps-bff-extrato-ib;.css
acps;acps-bff-extrato-ib;.sln
acps;acps-bff-extrato-ib;.nupkg
acps;acps-bff-extrato-ib;.cs
acps;acps-bff-investimentos;.md
acps;acps-bff-investimentos-ib;.md
acps;acps-bff-onboarding;.yaml
acps;acps-bff-onboarding;.json
acps;acps-bff-onboarding;.md
acps;acps-bff-onboarding;.csproj
acps;acps-bff-onboarding;.css
acps;acps-bff-onboarding;.sln
acps;acps-bff-onboarding;.cs
acps;acps-bff-pagamentos-ib;.md
acps;acps-bff-portal-captacao-cofrinho;.md
acps;acps-bff-rastreio-cartoes;.md
acps;acps-bff-recarga-ib;.md
acps;acps-bff-saldo-ib;.json
acps;acps-bff-saldo-ib;.pubxml
acps;acps-bff-saldo-ib;.md
acps;acps-bff-saldo-ib;.yml
acps;acps-bff-saldo-ib;.csproj
acps;acps-bff-saldo-ib;.css
acps;acps-bff-saldo-ib;.sln
acps;acps-bff-saldo-ib;.cs
acps;acps-bff-setup-inteligente;.md
acps;acps-cache-internet-banking-api;.md
acps;acps-cadastro-mobile-bff;.md
acps;acps-card-wallet-mobile-bff;.yaml
acps;acps-card-wallet-mobile-bff;.md
acps;acps-card-wallet-mobile-bff;.yml
acps;acps-cartao-mobile-bff;.md
acps;acps-cartao-mobile-bff;.json
acps;acps-cartao-mobile-bff;.yml
acps;acps-cartao-mobile-bff;.csproj
acps;acps-cartao-mobile-bff;.css
acps;acps-cartao-mobile-bff;.sln
acps;acps-cartao-mobile-bff;.cs
acps;acps-cashback-mobile-bff;.md
acps;acps-cash-ib-bff;.yaml
acps;acps-cash-ib-bff;.md
acps;acps-cash-ib-bff;.yml
acps;acps-central-notificacoes-app-bff;.json
acps;acps-central-notificacoes-app-bff;.md
acps;acps-central-notificacoes-app-bff;.yml
acps;acps-central-notificacoes-app-bff;.csproj
acps;acps-central-notificacoes-app-bff;.css
acps;acps-central-notificacoes-app-bff;.sln
acps;acps-central-notificacoes-app-bff;.xml
acps;acps-central-notificacoes-app-bff;.xsd
acps;acps-central-notificacoes-app-bff;.cs
acps;acps-cliente-mobile-bff;.md
acps;acps-cliente-mobile-bff;.json
acps;acps-cliente-mobile-bff;.yml
acps;acps-cliente-mobile-bff;.csproj
acps;acps-cliente-mobile-bff;.css
acps;acps-cliente-mobile-bff;.sln
acps;acps-cliente-mobile-bff;.cs
acps;acps-codigo-barras-mobile-bff;.md
acps;acps-comprovante-mobile-bff;.md
acps;acps-comprovante-mobile-bff;.json
acps;acps-comprovante-mobile-bff;.yml
acps;acps-comprovante-mobile-bff;.csproj
acps;acps-comprovante-mobile-bff;.css
acps;acps-comprovante-mobile-bff;.sln
acps;acps-comprovante-mobile-bff;.cs
acps;acps-config-mobile-bff;.md
acps;acps-conta-mobile-bff;.md
acps;acps-conta-mobile-bff;.json
acps;acps-conta-mobile-bff;.yml
acps;acps-conta-mobile-bff;.csproj
acps;acps-conta-mobile-bff;.css
acps;acps-conta-mobile-bff;.sln
acps;acps-conta-mobile-bff;.cs
acps;acps-conta-mobile-bff;.png
acps;acps-desafios-seguranca-mobile-bff;.md
acps;acps-digitacao-proposta-bff;.json
acps;acps-digitacao-proposta-bff;.md
acps;acps-digitacao-proposta-bff;.yml
acps;acps-digitacao-proposta-bff;.csproj
acps;acps-digitacao-proposta-bff;.http
acps;acps-digitacao-proposta-bff;.css
acps;acps-digitacao-proposta-bff;.sln
acps;acps-digitacao-proposta-bff;.xml
