Project name;Repository name;File extension
BMG.Corporativo.PlataformaNegocios;BMG.PN.PNP579.EventConsumerPN;.json
BMG.Corporativo.PlataformaNegocios;BMG.PN.PNP579.EventConsumerPN;.cs
BMG.Corporativo.PlataformaNegocios;BMG.PN.PNP579.EventConsumerPN;.sln
BMG.Corporativo.PlataformaNegocios;BMG.PN.PNP579.EventConsumerPN;.csproj
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.settings
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.csproj
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.config
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.pfx
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.wsdl
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.user
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.map
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.datasource
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.sln
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP038;.cs
BMG.Corporativo.Arrecadacao;BMG.Corporativo.Arrecadacao.APIDominios;.json
BMG.Corporativo.Arrecadacao;BMG.Corporativo.Arrecadacao.APIDominios;.csproj
BMG.Corporativo.Arrecadacao;BMG.Corporativo.Arrecadacao.APIDominios;.pubxml
BMG.Corporativo.Arrecadacao;BMG.Corporativo.Arrecadacao.APIDominios;.sln
BMG.Corporativo.Arrecadacao;BMG.Corporativo.Arrecadacao.APIDominios;.cs
BMG.Corporativo.Arrecadacao;BMG.Corporativo.Arrecadacao.APIDominios;.yml
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.json
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.stackdump
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.svg
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.scss
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.png
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.csproj
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.config
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.cache
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.sln
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.eot
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.woff
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.jpg
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.woff2
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.ttf
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.html
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.md
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.css
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.conf
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.ide
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.yml
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.js
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.txt
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.ide-wal
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.otf
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.exe
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.ts
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.less
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.cs
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.ico
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.lock
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.ide-shm
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.gif
BMG.Ativos;BMG.Ativos.GestaoGarantias.Front;.pdb
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP095;.json
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP095;.csproj
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP095;.md
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP095;.config
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP095;.sln
BMG.Corporativo.Autoban;BMG.Corporativo.Autoban.ABP095;.cs
BMG.Money;bmgmoney.gcp.webportal.call_center;.md
BMG.Corporativo.Cobranca;BMG.CompensacaoEletronica.NovaCobranca.DDA0108.Backend;.json
BMG.Corporativo.Cobranca;BMG.CompensacaoEletronica.NovaCobranca.DDA0108.Backend;.csproj
BMG.Corporativo.Cobranca;BMG.CompensacaoEletronica.NovaCobranca.DDA0108.Backend;.md
BMG.Corporativo.Cobranca;BMG.CompensacaoEletronica.NovaCobranca.DDA0108.Backend;.sln
BMG.Corporativo.Cobranca;BMG.CompensacaoEletronica.NovaCobranca.DDA0108.Backend;.cs
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.json
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.csproj
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.editorconfig
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.md
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.txt
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.cache
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.buildwithskipanalyzers
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.targets
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.sln
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.dll
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.cs
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.v2
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.copycomplete
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.props
BMG.Digital;BMG.Digital.CodigoParceiro.Hospital;.pdb
BMG.Digital;BMG.Digital.MiddlewareValidalition;.json
